Clock 1,Clock 2
0,29
1,51
2,57
3,65
4,75
5,88
6,90
7,105
8,111
9,125
10,131
11,144
12,146
13,156
14,176
15,183
16,199
17,207
18,209
19,224
20,230
21,254
22,261
23,296
24,301
25,305
26,320
27,325
28,329
29,348
30,385
31,415
32,440
33,445
34,446
35,454
36,475
37,483
38,494
39,514
40,518
41,561
42,586
43,598
44,604
45,605
46,624
47,644
48,658
49,661
50,674
51,678
52,707
53,708
54,732
55,743
56,764
57,782
58,788
59,794
60,795
61,823
62,835
63,857
64,865
65,867
66,893
67,899
68,966
69,968
70,984
71,986
72,990
73,1012
74,1033
75,1034
76,1109
77,1151
78,1159
79,1192
80,1200
81,1202
82,1218
83,1230
84,1232
85,1242
86,1249
87,1253
88,1257
89,1262
90,1288
91,1294
92,1308
93,1337
94,1347
95,1353
96,1364
97,1371
98,1398
99,1405
100,1449
101,1452
102,1460
103,1465
104,1526
105,1590
106,1596
107,1600
108,1615
109,1631
110,1635
111,1646
112,1649
113,1658
114,1688
115,1697
116,1712
117,1718
118,1731
119,1736
120,1748
121,1752
122,1760
123,1777
124,1780
125,1797
126,1800
127,1807
128,1811
129,1824
130,1862
131,1866
132,1880
133,1884
134,1894
135,1897
136,1898
137,1906
138,1908
139,1923
140,1927
141,1936
142,1961
143,1963
144,1965
145,1968
146,1981
147,1984
148,1987
149,1990
150,2004
151,2010
152,2011
153,2016
154,2026
155,2056
156,2066
157,2073
158,2074
159,2087
160,2097
161,2104
162,2124
163,2137
164,2147
165,2155
166,2159
167,2162
168,2165
169,2181
170,2183
171,2184
172,2190
173,2192
174,2195
175,2206
176,2215
177,2237
178,2251
179,2269
180,2286
181,2319
182,2321
183,2336
184,2344
185,2368
186,2393
187,2406
188,2421
189,2469
190,2471
191,2508
192,2513
193,2535
194,2542
195,2552
196,2556
197,2562
198,2567
199,2584
200,2588
201,2601
202,2617
203,2634
204,2642
205,2680
206,2685
207,2691
208,2707
209,2712
210,2733
211,2749
212,2757
213,2807
214,2820
215,2826
216,2828
217,2833
218,2836
219,2842
220,2853
221,2858
222,2865
223,2871
224,2876
225,2893
226,2905
227,2915
228,2923
229,3002
230,3009
231,3028
232,3035
233,3047
234,3053
235,3061
236,3066
237,3074
238,3085
239,3198
240,3201
241,3239
242,3245
243,3255
244,3268
245,3276
246,3281
247,3301
248,3312
249,3328
250,3332
251,3336
252,3358
253,3370
254,3385
255,3392
256,3393
257,3400
258,3401
259,3415
260,3416
261,3421
262,3443
263,3451
264,3453
265,3458
266,3464
267,3469
268,3482
269,3487
270,3489
271,3493
272,3498
273,3508
274,3514
275,3541
276,3548
277,3552
278,3596
279,3600
280,3606
281,3607
282,3620
283,3625
284,3626
285,3631
286,3634
287,3640
288,3645
289,3647
290,3654
291,3660
292,3661
293,3693
294,3697
295,3699
296,3701
297,3717
298,3730
299,3731
300,3744
301,3757
302,3780
303,3795
304,3809
305,3886
306,3899
307,3902
308,3907
309,3908
310,3961
311,3964
312,3973
313,3979
314,4009
315,4013
316,4051
317,4057
318,4079
319,4086
320,4101
321,4102
322,4105
323,4111
324,4115
325,4123
326,4129
327,4158
328,4170
329,4189
330,4199
331,4223
332,4236
333,4308
334,4314
335,4318
336,4345
337,4346
338,4351
339,4381
340,4406
341,4417
342,4426
343,4579
344,4606
345,4610
346,4611
347,4637
348,4641
349,4656
350,4677
351,4704
352,4720
353,4725
354,4731
355,4807
356,4826
357,4831
358,4856
359,4862
360,4866
361,4881
362,4897
363,4915
364,4922
365,4923
366,4925
367,4926
368,4931
369,4937
370,4938
371,4942
372,4944
373,4945
374,4952
375,4957
376,4960
377,4967
378,4972
379,4984
380,4990
381,4999
382,5009
383,5013
384,5014
385,5016
386,5020
387,5022
388,5036
389,5055
390,5062
391,5076
392,5090
393,5102
394,5109
395,5119
